MUID,Haltungstyp,Schacht oben,Sohlhöhe_Schacht oben,Deckenhöhe_Schacht oben,Schacht unten,Sohlhöhe_Schacht unten,Deckenhöhe_Schacht unten,Durchmesser [m],Länge [m],Gefälle [%],Vmin [m/s],Vmin_Zeitpunkt,Vmax [m/s],Vmax_Zeitpunkt,Qmin [m/s],Qmin_Zeitpunkt,Qmax [m/s],Qmax_Zeitpunkt,Qvoll [m³/s],Qmax/Qvoll [%],Wspmax Schacht oben,Wspmax Schacht oben Zeitpunkt,Wspmax Schacht unten,Wspmax Schacht Zeitpunkt,Beschreibung,AssetName
B4.1200l1,Link,B4.1200,16.799999237060547,19.899999618530273,B4.1485,16.350000381469727,19.799999237060547,0.7,479.9989990144968,0.0937499570863125,,,,,-0.005378956,16.05.1953 18:20:30,0.4233077,16.05.1953 18:21:30,0.14186526370494068,2.983871378693653,20.247484,1953-05-16 18:32:23,17.377028,1953-05-16 18:32:23,,
B4.1300l1,Link,B4.1300,17.420000076293945,19.899999618530273,B4.1320,17.100000381469727,20.200000762939453,,299.99995646066964,0.10666658042204454,,,,,0.000191212,16.05.1953 21:57:16,0.3862633,16.05.1953 18:26:37,-1.0,-0.3862633,17.843431,1953-05-16 18:26:37,17.51902,1953-05-16 18:26:37,,
B4.1310l1,Link,B4.1310,17.299999237060547,20.229999542236328,B4.1320,17.100000381469727,20.200000762939453,,323.1101874204543,0.06189803459541416,,,,,0.0001455536,16.05.1953 21:57:16,0.2138428,16.05.1953 18:26:37,-1.0,-0.2138428,17.646738,1953-05-16 18:26:37,17.51902,1953-05-16 18:26:37,,
B4.1320l1,Link,B4.1320,17.100000381469727,20.200000762939453,B4.1485,16.350000381469727,19.799999237060547,,270.00205629039556,0.27777566226879097,,,,,-0.2284498,16.05.1953 18:25:30,0.4302279,16.05.1953 18:30:35,-1.0,-0.4302279,17.444399,1953-05-16 18:32:23,17.377028,1953-05-16 18:32:23,,
B4.1480l1,Link,B4.1480,16.25,18.5,A0.0327,16.0,17.5,1.2,119.99858560040593,0.20833578891712728,,,,,-0.804957,16.05.1953 18:50:37,1.260161,16.05.1953 18:34:11,1.966383183405664,0.6408522055286665,17.127731,1953-05-16 18:50:37,17.187971,1953-05-16 18:50:37,,
B4.1485l1,Link,B4.1485,16.350000381469727,19.799999237060547,B4.1480,16.25,18.5,1.2,60.000456953421235,0.16666603313931017,,,,,-0.02724102,16.05.1953 18:18:30,1.448613,16.05.1953 18:34:11,1.7587695247346469,0.8236514106182039,17.135504,1953-05-16 18:51:47,17.127731,1953-05-16 18:51:47,,
B4.1490l1,Link,B4.1490,16.389999389648438,19.799999237060547,B4.1485,16.350000381469727,19.799999237060547,1.2,149.99881407711655,0.026666216279647968,,,,,2.453081e-05,16.05.1953 18:01:06,0.8344685,16.05.1953 18:26:37,0.7035132698550327,1.1861446482337883,17.403952,1953-05-16 18:37:23,17.377028,1953-05-16 18:37:23,,
B4.1491l1,Link,B4.1491,17.5,20.149999618530273,B4.1490,16.389999389648438,19.799999237060547,0.35,239.9994995072484,0.04166691250400144,,,,,1.467786e-06,16.05.1953 18:01:06,0.1528764,16.05.1953 18:29:05,0.030965889955012073,4.936928995811268,20.108583,1953-05-16 18:30:35,17.687538,1953-05-16 18:30:35,,
B4.1500l1,Link,B4.1500,16.700000762939453,19.200000762939453,B4.1490,16.389999389648438,19.799999237060547,0.6,264.00201059505343,0.11742386832292712,,,,,-0.01992645,16.05.1953 18:18:30,0.4816122,16.05.1953 18:24:30,0.18599735670091805,2.5893497012133766,19.338707,1953-05-16 18:34:11,17.437677,1953-05-16 18:34:11,,
B4.1501l1,Link,B4.1501,17.600000381469727,20.469999313354492,B4.1500,16.700000762939453,19.200000762939453,0.3,301.4962480447452,0.03316803513086686,,,,,8.68198e-07,16.05.1953 18:12:03,0.09388808,16.05.1953 18:22:30,0.018315678252942523,5.1261044610737425,20.711884,1953-05-16 18:32:23,19.610634,1953-05-16 18:32:23,,
B4.1501l2,Link,B4.1501,17.600000381469727,20.469999313354492,B4.1491,17.5,20.149999618530273,0.3,241.5717054399785,0.041395734358704896,,,,,-0.028143,16.05.1953 18:20:30,0.07565963,16.05.1953 18:40:23,0.02174051701018413,3.4801210092914534,20.729588,1953-05-16 18:32:23,20.29294,1953-05-16 18:32:23,,
B4.1502l1,Link,B4.1502,17.860000610351562,21.31999969482422,B4.1501,17.600000381469727,20.469999313354492,0.25,209.99927103053778,0.12381006258065871,,,,,-0.005213293,16.05.1953 18:17:30,0.07737824,16.05.1953 18:50:37,0.021761646571521197,3.555716234324959,21.735888,1953-05-16 18:36:23,20.760246,1953-05-16 18:36:23,,
B4.1520l1,Link,B4.1520,16.5,19.100000381469727,B4.1510,14.199999809265137,19.200000762939453,0.5,235.0006255810149,0.9787208800182335,,,,,1.867084e-05,16.05.1953 21:57:16,0.4276474,16.05.1953 18:21:30,0.41278031196756354,1.0360169504247208,19.25135,1953-05-16 18:29:05,17.192947,1953-05-16 18:29:05,,
